zobacz wszystko#sukienki;Welurowa sukienka;89,99 PLN;https://lp2.hm.com/hmgoepprod?set=source[/3d/2a/3d2ab1a7b6f53a8dfb433d1a7553e63fddcc730d.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style];17
zobacz wszystko#sukienki;Satynowa sukienka z baloniastym rękawem;129,99 PLN;https://lp2.hm.com/hmgoepprod?set=source[/bb/2e/bb2ec2cdd5c91987107f2d3afa795fe87df2bffa.jpg],origin[dam],category[ladies_divided_conscious],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style];76
zobacz wszystko#sukienki;Prążkowana sukienka z suwakiem z przodu;134,99 PLN;https://lp2.hm.com/hmgoepprod?set=source[/10/d5/10d5c08258801dc249ccf27bc30f2e6a152a8c7c.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style];94
zobacz wszystko#sukienki;Sukienka z bufiastym rękawem;99,99 PLN;https://lp2.hm.com/hmgoepprod?set=source[/9e/94/9e94946a01e33bb9945f3a4f04cadfc12f5dc96a.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style];51
zobacz wszystko#sukienki;Szmizjerka ze zwężaną talią;129,99 PLN;https://lp2.hm.com/hmgoepprod?set=source[/ef/c9/efc9e13daeb56ae65b3cd8e16e497b167e35f523.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style];48
zobacz wszystko#sukienki;Sukienka z kołnierzykiem;99,99 PLN;https://lp2.hm.com/hmgoepprod?set=source[/c3/af/c3af50cb9204414ebb2c7a4272709d87f26e211b.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style];6
zobacz wszystko#sukienki;Krótka szmizjerka;139,99 PLN;https://lp2.hm.com/hmgoepprod?set=source[/d6/f5/d6f551603482757a151add7c6ed25c48746dc34c.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style];26
zobacz wszystko#sukienki;Double-breasted blazer dress;99,99 PLN;https://lp2.hm.com/hmgoepprod?set=source[/7d/91/7d911eb99d07d9dbd50f3d491281435805ce9f00.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style];78
zobacz wszystko#sukienki;Cekinowa sukienka;79,99 PLN;https://lp2.hm.com/hmgoepprod?set=source[/9f/69/9f69f4a2cdaa59fcc336ec9a44e052158ce0daf0.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style];75
zobacz wszystko#sukienki;Szmizjerka z baloniastym rękawem;99,99 PLN;https://lp2.hm.com/hmgoepprod?set=source[/e8/55/e855aff6ce325c1f8454e1315ae68705fea8a997.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style];77
zobacz wszystko#sukienki;Satynowa sukienka z odkrytymi ramionami;99,99 PLN;https://lp2.hm.com/hmgoepprod?set=source[/5f/9b/5f9bdcc6972fd72fc4a492071a5b9a74db62b3c0.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style];28
zobacz wszystko#sukienki;Sukienka z cekinami;149,99 PLN;https://lp2.hm.com/hmgoepprod?set=source[/d0/7e/d07e9384dbdba70a674507ac3a50420a0c5c44ce.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style];50
zobacz wszystko#sukienki;Szmizjerka z baloniastym rękawem;99,99 PLN;https://lp2.hm.com/hmgoepprod?set=source[/70/7d/707d9b7a8418af189a4d0e79a1ff842e473ad021.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style];79
zobacz wszystko#sukienki;Sukienka w prążki z półgolfem;229,99 PLN;https://lp2.hm.com/hmgoepprod?set=source[/35/65/35659d10ea9950548ed66dfe29b4a2b37fcabc94.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style];98
zobacz wszystko#sukienki;Kopertowa sukienka z cekinami;129,99 PLN;https://lp2.hm.com/hmgoepprod?set=source[/0b/45/0b45fd1df1f72fbbc898c67ef11ce09c83972474.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style];8
zobacz wszystko#sukienki;Kopertowa szmizjerka z satynowej krepy;59,99 PLN;https://lp2.hm.com/hmgoepprod?set=source[/30/38/30385e43d5734521155c6e7ce88e62dd01a33d55.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style];83
zobacz wszystko#sukienki;Sukienka bodycon z długim rękawem;129,99 PLN;https://lp2.hm.com/hmgoepprod?set=source[/76/24/76240da915f9d1a542d8016ae8e558efc76898ed.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style];76;99,99 PLN;https://lp2.hm.com/hmgoepprod?set=source[/61/dc/61dc1a16f7a6965a7f6e4c04727dc5745e723d35.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style];20
zobacz wszystko#bluzy;Rozpinana bluza z kapturem;79,99 PLN;https://lp2.hm.com/hmgoepprod?set=source[/74/8c/748c56c8ee2701c9ab031f7cd7bb8a79c9084c53.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style];2
zobacz wszystko#bluzy;Rozpinana bluza z kapturem;89,99 PLN;https://lp2.hm.com/hmgoepprod?set=source[/2f/d2/2fd2b8259f0929c33eecd26db48820a22c06487c.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style];25
