a,b
ID,Active (0/1),Name *,Parent category,Root category (0/1),Description,Meta title,Meta keywords,Meta description,Rerwritten URL,Image URL,ID / Name of shop
H&M+ Dwurzędowy płaszcz,"229,99 PLN","//lp2.hm.com/hmgoepprod?set=source[/33/0b/330b1ce60967731ab7677942bee88d0384ef2824.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Sukienka z dzianiny w prążki,"139,99 PLN","//lp2.hm.com/hmgoepprod?set=source[/fe/95/fe9575c53201925b00efa56ba407e4035121c53a.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Płaszcz oversize z diagonalu,"279,99 PLN","//lp2.hm.com/hmgoepprod?set=source[/01/8c/018c6d80850f30ace343d8155ae00fd1fe1ec5f9.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Sukienka z dzianiny w prążki,"134,99 PLN","//lp2.hm.com/hmgoepprod?set=source[/bd/1b/bd1b1fa1d95c7c222454421a94ba8a78e312507a.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Czapka z dzianiny w prążki,"39,99 PLN","//lp2.hm.com/hmgoepprod?set=source[/70/27/70278d57e3d7b9cef19dce837f0fb0cf27e0917c.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
Sukienka z dzianiny w prążki,"139,99 PLN","//lp2.hm.com/hmgoepprod?set=source[/67/77/6777bfde5124508a2c59625abfa817c503b7b42d.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Długi kardigan,"79,99 PLN","//lp2.hm.com/hmgoepprod?set=source[/8e/a5/8ea52bc5ab9542748b4180103e4e8e8e0a48fabe.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Sztyblety,"139,99 PLN","//lp2.hm.com/hmgoepprod?set=source[/7f/62/7f6275dac4696d4331d7d44d9fbe4614d9b146ac.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Spodnie do kostki,"99,99 PLN","//lp2.hm.com/hmgoepprod?set=source[/18/82/1882077330b0c02728223d6b39f910094874036f.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Płaszcz z wiązanym paskiem,"229,99 PLN","//lp2.hm.com/hmgoepprod?set=source[/cb/76/cb7637c4efd5c1d42cf25cf84cda48c0a76c0b92.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Sweter o splocie w prążki z suwakiem u góry,"149,99 PLN","//lp2.hm.com/hmgoepprod?set=source[/b1/91/b19144d4bd2ee7b6d66cf1308684f035b01090cd.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Żakardowy sweter z półgolfem,"139,99 PLN","//lp2.hm.com/hmgoepprod?set=source[/18/17/1817a95dfd121dd4a60f20cde88b7fd932428647.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Kopertowa sukienka z cekinami,"199,99 PLN","//lp2.hm.com/hmgoepprod?set=source[/6c/d3/6cd38981001dda66f2155a8572332694620fc993.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Sweter w prążki z golfem,"79,99 PLN","//lp2.hm.com/hmgoepprod?set=source[/29/22/2922852db366536349c76e4c498d8457ef52eb2f.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Sukienka bodycon z cekinami,"119,99 PLN","//lp2.hm.com/hmgoepprod?set=source[/ef/ff/efffeed4c8033919a0de3eecb1c5bf5378f32f1a.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
