47;Sukienka bodycon z puszystej dzianiny;499,99 PLN;https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F75%2Ffa%2F75fa0594e88bb6e4bd9eb811215687a903e971fa.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main];67;Podkreślająca figurę sukienka do połowy łydki wykonana z miękkiej dzianiny w prążki z domieszką kaszmiru. Dekolt w serek z przodu i z tyłu, długie rękawy z rozcięciem, u dołu prosty brzeg i rozcięcia po bokach.
47;Sukienka bodycon z domieszką kaszmiru;79,99 PLN;https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F2d%2F67%2F2d67093fe9474c0dafdd10e9ca870e184ffd4786.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main];61;Short dress in woven fabric with a V-neck, long sleeves and straight-cut hem. Unlined.
47;V-neck dress;99,99 PLN;https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fa0%2Fcd%2Fa0cd818d9810765e68e8eb3b605a2fd2fe5b1f84.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main];4;Krótka sukienka z wzorzystej tkaniny. Dopasowana góra i lekko rozszerzany dół. Dekolt w serek i małe wycięcie z wąskim wiązaniem. Profilowane marszczone miseczki oraz lekko rozszerzane długie rękawy. Z podszewką.
47;Wzorzysta sukienka z wiązaniem;149,99 PLN;https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fd9%2F88%2Fd9886bec528b4db6af3ea862549e38dda913a790.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main];64;Calf-length dress in a jacquard weave. Relaxed fit with a round neckline and an opening with a covered button at the back of the neck. Elbow-length balloon sleeves with narrow elastication at the cuffs, a drawstring at the waist and a gathered seam below the hips for added width. Jersey underdress.
47;Balloon-sleeved dress;199,99 PLN;https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fa7%2F7e%2Fa77e696825151488d15a2166a4a4d8755a7ac44b.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main];18;Podkreślająca figurę sukienka o splocie w prążki wykonana z miękkiej dzianiny z domieszką wełny. Ażurowy wzór z przodu i na rękawach. Długość do połowy łydki. Okrągły dekolt, długie bufiaste rękawy z obcisłym mankietem. U dołu prosty brzeg i rozcięcie po bokach.
47;Sukienka z bufiastym rękawem;599,99 PLN;https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fa1%2F84%2Fa18490aef7cf98d4ad127e7fdeca4d5c1a67b4c4.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main];56;Podkreślająca figurę krótka tkaninowa sukienka z mieszanki wełny i jedwabiu. Otwarte klapy, dwurzędowe zapięcie na obciągane guziki, dyskretne kieszenie w szwach bocznych, watowane ramiona i długie rękawy z obciąganymi guzikami u dołu. Z podszewką.
47;Sukienka żakietowa z domieszką jedwabiu;499,99 PLN;https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fff%2Fc3%2Fffc3d5b6493bed3629164f4bdbd198f8b9d3f6ea.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main];21;Podkreślająca figurę sukienka do połowy łydki wykonana z miękkiej dzianiny w prążki z domieszką kaszmiru. Dekolt w serek z przodu i z tyłu, długie rękawy z rozcięciem, u dołu prosty brzeg i rozcięcia po bokach.
47;Sukienka bodycon z domieszką kaszmiru;79,99 PLN;https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2Fc4%2F94%2Fc4946e83bd5fcb1c60accbca96fc86d1e1c7d5b3.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main];76;Podkreślająca figurę krótka sukienka z miękkiego drapowanego dżerseju na wąskich ramiączkach. Głęboki dekolt w serce z elastycznym brzegiem i falbanką oraz kokardką.
47;Drapowana sukienka;149,99 PLN;https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F37%2F3a%2F373a3c38745384e2519a18056763f39e27d0fd60.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main];90;Short, A-line dress in a pleated weave. Relaxed fit with a round neckline and an opening with a concealed button at the back of the neck. Long, flared sleeves and a straight-cut hem. Partly lined.
47;Pleated dress;149,99 PLN;https://lp2.hm.com/hmgoepprod?set=quality%5B79%5D%2Csource%5B%2F8f%2F14%2F8f14ae19b53ef64808819f68f995723df4518a01.jpg%5D%2Corigin%5Bdam%5D%2Ccategory%5B%5D%2Ctype%5BLOOKBOOK%5D%2Cres%5Bm%5D%2Chmver%5B1%5D&call=url[file:/product/main];76;Podkreślająca figurę krótka sukienka z miękkiej dzianiny z domieszką wełny. Okrągły dekolt ze ściągaczem z plastikowymi perełkami, bardzo długie rękawy z obcisłym mankietem. Prosty brzeg u dołu. Rękawy i dół ze ściągaczem.
